age,male,married,ln_wage,rural_hk,familysize,old_ratio,child_ratio,ln_property,ln_transfer,edu_my,ifsocial,social_rate_h,ln_pce,ln_indinc_cr,year2,citycode2
23,1,1,7.6009026,1,4,0.25,0,0,5.0061808,2,0,0,10.32744724,10.12342597,3,16
25,1,1,7.418581,1,4,0,0.5,0,0,1,0,0,9.500020447,8.517193191,1,16
47,1,1,6.7254338,1,3,0,0,0,0,1,0,0,9.455636728,9.64428493,1,13
38,1,1,8.0063677,1,3,0,0,0,3.5361166,1,0,0,10.08630898,9.213668129,3,16
40,1,1,7.7832241,1,3,0,0.33333334,0,3.2580965,1,0,0,10.24067382,9.086287686,5,16
37,1,1,6.5022902,1,5,0,0,0,3.5361166,2,1,0.19354838,9.808627272,8.442469645,1,16
56,1,1,6.8023949,1,2,0,0,0,6.0346837,2,0,0,9.369052063,9.75643661,3,16
53,0,1,5.9914646,1,2,0,0,0,0.080042705,1,0,0,10.36027929,9.249609161,1,16
60,1,1,6.2146082,1,2,0,0,0,3.753418,1,0,0,8.753371421,8.527143522,1,13
23,0,1,7.6009026,1,1,0,0,0,0,2,0,0,10.14092841,9.998797732,5,13
25,1,0,7.8240461,0,1,0,0,0,6.7266331,3,1,0.16666667,10.59663473,11.51292546,5,15
